input_id,model,layer,category,measured_entropy,sae_sparsity_metric,timestamp
constrained_factual_011,google/gemma-2-2b,11,constrained_factual,0.481,0.844,2026-08-09T09:20:11.239049+00:00
constrained_factual_011,google/gemma-2-2b,12,constrained_factual,0.491,0.839,2026-08-09T09:20:11.239049+00:00
constrained_factual_011,google/gemma-2-2b,13,constrained_factual,0.501,0.834,2026-08-09T09:20:11.239049+00:00
constrained_factual_011,google/gemma-2-2b,14,constrained_factual,0.511,0.829,2026-08-09T09:20:11.239049+00:00
constrained_factual_012,google/gemma-2-2b,11,constrained_factual,0.48,0.845,2026-08-09T09:20:11.239049+00:00
constrained_factual_012,google/gemma-2-2b,12,constrained_factual,0.49,0.84,2026-08-09T09:20:11.239049+00:00
constrained_factual_012,google/gemma-2-2b,13,constrained_factual,0.5,0.835,2026-08-09T09:20:11.239049+00:00
constrained_factual_012,google/gemma-2-2b,14,constrained_factual,0.51,0.83,2026-08-09T09:20:11.239049+00:00
constrained_factual_013,google/gemma-2-2b,11,constrained_factual,0.515,0.86,2026-08-09T09:20:11.239049+00:00
constrained_factual_013,google/gemma-2-2b,12,constrained_factual,0.525,0.855,2026-08-09T09:20:11.239049+00:00
constrained_factual_013,google/gemma-2-2b,13,constrained_factual,0.535,0.85,2026-08-09T09:20:11.239049+00:00
constrained_factual_013,google/gemma-2-2b,14,constrained_factual,0.545,0.845,2026-08-09T09:20:11.239049+00:00
constrained_factual_014,google/gemma-2-2b,11,constrained_factual,0.539,0.836,2026-08-09T09:20:11.239049+00:00
constrained_factual_014,google/gemma-2-2b,12,constrained_factual,0.549,0.831,2026-08-09T09:20:11.239049+00:00
constrained_factual_014,google/gemma-2-2b,13,constrained_factual,0.559,0.826,2026-08-09T09:20:11.239049+00:00
constrained_factual_014,google/gemma-2-2b,14,constrained_factual,0.569,0.821,2026-08-09T09:20:11.239049+00:00
constrained_factual_015,google/gemma-2-2b,11,constrained_factual,0.479,0.846,2026-08-09T09:20:11.239049+00:00
constrained_factual_015,google/gemma-2-2b,12,constrained_factual,0.489,0.841,2026-08-09T09:20:11.239049+00:00
constrained_factual_015,google/gemma-2-2b,13,constrained_factual,0.499,0.836,2026-08-09T09:20:11.239049+00:00
constrained_factual_015,google/gemma-2-2b,14,constrained_factual,0.509,0.831,2026-08-09T09:20:11.239049+00:00
constrained_factual_016,google/gemma-2-2b,11,constrained_factual,0.512,0.863,2026-08-09T09:20:11.239049+00:00
constrained_factual_016,google/gemma-2-2b,12,constrained_factual,0.522,0.858,2026-08-09T09:20:11.239049+00:00
constrained_factual_016,google/gemma-2-2b,13,constrained_factual,0.532,0.853,2026-08-09T09:20:11.239049+00:00
constrained_factual_016,google/gemma-2-2b,14,constrained_factual,0.542,0.848,2026-08-09T09:20:11.239049+00:00
constrained_factual_017,google/gemma-2-2b,11,constrained_factual,0.488,0.837,2026-08-09T09:20:11.239049+00:00
constrained_factual_017,google/gemma-2-2b,12,constrained_factual,0.498,0.832,2026-08-09T09:20:11.239049+00:00
constrained_factual_017,google/gemma-2-2b,13,constrained_factual,0.508,0.827,2026-08-09T09:20:11.239049+00:00
constrained_factual_017,google/gemma-2-2b,14,constrained_factual,0.518,0.822,2026-08-09T09:20:11.239049+00:00
constrained_factual_018,google/gemma-2-2b,11,constrained_factual,0.474,0.851,2026-08-09T09:20:11.239049+00:00
constrained_factual_018,google/gemma-2-2b,12,constrained_factual,0.484,0.846,2026-08-09T09:20:11.239049+00:00
constrained_factual_018,google/gemma-2-2b,13,constrained_factual,0.494,0.841,2026-08-09T09:20:11.239049+00:00
constrained_factual_018,google/gemma-2-2b,14,constrained_factual,0.504,0.836,2026-08-09T09:20:11.239049+00:00
constrained_factual_019,google/gemma-2-2b,11,constrained_factual,0.533,0.842,2026-08-09T09:20:11.239049+00:00
constrained_factual_019,google/gemma-2-2b,12,constrained_factual,0.543,0.837,2026-08-09T09:20:11.239049+00:00
constrained_factual_019,google/gemma-2-2b,13,constrained_factual,0.553,0.832,2026-08-09T09:20:11.239049+00:00
constrained_factual_019,google/gemma-2-2b,14,constrained_factual,0.563,0.827,2026-08-09T09:20:11.239049+00:00
constrained_factual_020,google/gemma-2-2b,11,constrained_factual,0.525,0.85,2026-08-09T09:20:11.239049+00:00
constrained_factual_020,google/gemma-2-2b,12,constrained_factual,0.535,0.845,2026-08-09T09:20:11.239049+00:00
constrained_factual_020,google/gemma-2-2b,13,constrained_factual,0.545,0.84,2026-08-09T09:20:11.239049+00:00
constrained_factual_020,google/gemma-2-2b,14,constrained_factual,0.555,0.835,2026-08-09T09:20:11.239049+00:00
constrained_factual_021,google/gemma-2-2b,11,constrained_factual,0.551,0.824,2026-08-09T09:20:11.239049+00:00
constrained_factual_021,google/gemma-2-2b,12,constrained_factual,0.561,0.819,2026-08-09T09:20:11.239049+00:00
constrained_factual_021,google/gemma-2-2b,13,constrained_factual,0.571,0.814,2026-08-09T09:20:11.239049+00:00
constrained_factual_021,google/gemma-2-2b,14,constrained_factual,0.581,0.809,2026-08-09T09:20:11.239049+00:00
constrained_factual_022,google/gemma-2-2b,11,constrained_factual,0.558,0.817,2026-08-09T09:20:11.239049+00:00
constrained_factual_022,google/gemma-2-2b,12,constrained_factual,0.568,0.812,2026-08-09T09:20:11.239049+00:00
constrained_factual_022,google/gemma-2-2b,13,constrained_factual,0.578,0.807,2026-08-09T09:20:11.239049+00:00
constrained_factual_022,google/gemma-2-2b,14,constrained_factual,0.588,0.802,2026-08-09T09:20:11.239049+00:00
constrained_factual_023,google/gemma-2-2b,11,constrained_factual,0.558,0.817,2026-08-09T09:20:11.239049+00:00
constrained_factual_023,google/gemma-2-2b,12,constrained_factual,0.568,0.812,2026-08-09T09:20:11.239049+00:00
constrained_factual_023,google/gemma-2-2b,13,constrained_factual,0.578,0.807,2026-08-09T09:20:11.239049+00:00
constrained_factual_023,google/gemma-2-2b,14,constrained_factual,0.588,0.802,2026-08-09T09:20:11.239049+00:00
constrained_factual_024,google/gemma-2-2b,11,constrained_factual,0.475,0.85,2026-08-09T09:20:11.239049+00:00
constrained_factual_024,google/gemma-2-2b,12,constrained_factual,0.485,0.845,2026-08-09T09:20:11.239049+00:00
constrained_factual_024,google/gemma-2-2b,13,constrained_factual,0.495,0.84,2026-08-09T09:20:11.239049+00:00
constrained_factual_024,google/gemma-2-2b,14,constrained_factual,0.505,0.835,2026-08-09T09:20:11.239049+00:00
constrained_factual_025,google/gemma-2-2b,11,constrained_factual,0.482,0.843,2026-08-09T09:20:11.239049+00:00
constrained_factual_025,google/gemma-2-2b,12,constrained_factual,0.492,0.838,2026-08-09T09:20:11.239049+00:00
constrained_factual_025,google/gemma-2-2b,13,constrained_factual,0.502,0.833,2026-08-09T09:20:11.239049+00:00
constrained_factual_025,google/gemma-2-2b,14,constrained_factual,0.512,0.828,2026-08-09T09:20:11.239049+00:00
constrained_factual_026,google/gemma-2-2b,11,constrained_factual,0.495,0.83,2026-08-09T09:20:11.239049+00:00
constrained_factual_026,google/gemma-2-2b,12,constrained_factual,0.505,0.825,2026-08-09T09:20:11.239049+00:00
constrained_factual_026,google/gemma-2-2b,13,constrained_factual,0.515,0.82,2026-08-09T09:20:11.239049+00:00
constrained_factual_026,google/gemma-2-2b,14,constrained_factual,0.525,0.815,2026-08-09T09:20:11.239049+00:00
constrained_factual_027,google/gemma-2-2b,11,constrained_factual,0.502,0.823,2026-08-09T09:20:11.239049+00:00
constrained_factual_027,google/gemma-2-2b,12,constrained_factual,0.512,0.818,2026-08-09T09:20:11.239049+00:00
constrained_factual_027,google/gemma-2-2b,13,constrained_factual,0.522,0.813,2026-08-09T09:20:11.239049+00:00
constrained_factual_027,google/gemma-2-2b,14,constrained_factual,0.532,0.808,2026-08-09T09:20:11.239049+00:00
constrained_factual_028,google/gemma-2-2b,11,constrained_factual,0.558,0.817,2026-08-09T09:20:11.239049+00:00
constrained_factual_028,google/gemma-2-2b,12,constrained_factual,0.568,0.812,2026-08-09T09:20:11.239049+00:00
constrained_factual_028,google/gemma-2-2b,13,constrained_factual,0.578,0.807,2026-08-09T09:20:11.239049+00:00
constrained_factual_028,google/gemma-2-2b,14,constrained_factual,0.588,0.802,2026-08-09T09:20:11.239049+00:00
constrained_factual_029,google/gemma-2-2b,11,constrained_factual,0.522,0.853,2026-08-09T09:20:11.239049+00:00
constrained_factual_029,google/gemma-2-2b,12,constrained_factual,0.532,0.848,2026-08-09T09:20:11.239049+00:00
constrained_factual_029,google/gemma-2-2b,13,constrained_factual,0.542,0.843,2026-08-09T09:20:11.239049+00:00
constrained_factual_029,google/gemma-2-2b,14,constrained_factual,0.552,0.838,2026-08-09T09:20:11.239049+00:00
constrained_factual_030,google/gemma-2-2b,11,constrained_factual,0.543,0.832,2026-08-09T09:20:11.239049+00:00
constrained_factual_030,google/gemma-2-2b,12,constrained_factual,0.553,0.827,2026-08-09T09:20:11.239049+00:00
constrained_factual_030,google/gemma-2-2b,13,constrained_factual,0.563,0.822,2026-08-09T09:20:11.239049+00:00
constrained_factual_030,google/gemma-2-2b,14,constrained_factual,0.573,0.817,2026-08-09T09:20:11.239049+00:00
constrained_factual_031,google/gemma-2-2b,11,constrained_factual,0.534,0.841,2026-08-09T09:20:11.239049+00:00
constrained_factual_031,google/gemma-2-2b,12,constrained_factual,0.544,0.836,2026-08-09T09:20:11.239049+00:00
constrained_factual_031,google/gemma-2-2b,13,constrained_factual,0.554,0.831,2026-08-09T09:20:11.239049+00:00
constrained_factual_031,google/gemma-2-2b,14,constrained_factual,0.564,0.826,2026-08-09T09:20:11.239049+00:00
constrained_factual_032,google/gemma-2-2b,11,constrained_factual,0.511,0.864,2026-08-09T09:20:11.239049+00:00
constrained_factual_032,google/gemma-2-2b,12,constrained_factual,0.521,0.859,2026-08-09T09:20:11.239049+00:00
constrained_factual_032,google/gemma-2-2b,13,constrained_factual,0.531,0.854,2026-08-09T09:20:11.239049+00:00
constrained_factual_032,google/gemma-2-2b,14,constrained_factual,0.541,0.849,2026-08-09T09:20:11.239049+00:00
constrained_factual_033,google/gemma-2-2b,11,constrained_factual,0.49,0.835,2026-08-09T09:20:11.239049+00:00
constrained_factual_033,google/gemma-2-2b,12,constrained_factual,0.5,0.83,2026-08-09T09:20:11.239049+00:00
constrained_factual_033,google/gemma-2-2b,13,constrained_factual,0.51,0.825,2026-08-09T09:20:11.239049+00:00
constrained_factual_033,google/gemma-2-2b,14,constrained_factual,0.52,0.82,2026-08-09T09:20:11.239049+00:00
constrained_factual_034,google/gemma-2-2b,11,constrained_factual,0.547,0.828,2026-08-09T09:20:11.239049+00:00
constrained_factual_034,google/gemma-2-2b,12,constrained_factual,0.557,0.823,2026-08-09T09:20:11.239049+00:00
constrained_factual_034,google/gemma-2-2b,13,constrained_factual,0.567,0.818,2026-08-09T09:20:11.239049+00:00
constrained_factual_034,google/gemma-2-2b,14,constrained_factual,0.577,0.813,2026-08-09T09:20:11.239049+00:00
constrained_factual_035,google/gemma-2-2b,11,constrained_factual,0.48,0.845,2026-08-09T09:20:11.239049+00:00
constrained_factual_035,google/gemma-2-2b,12,constrained_factual,0.49,0.84,2026-08-09T09:20:11.239049+00:00
constrained_factual_035,google/gemma-2-2b,13,constrained_factual,0.5,0.835,2026-08-09T09:20:11.239049+00:00
constrained_factual_035,google/gemma-2-2b,14,constrained_factual,0.51,0.83,2026-08-09T09:20:11.239049+00:00
constrained_factual_036,google/gemma-2-2b,11,constrained_factual,0.477,0.848,2026-08-09T09:20:11.239049+00:00
constrained_factual_036,google/gemma-2-2b,12,constrained_factual,0.487,0.843,2026-08-09T09:20:11.239049+00:00
constrained_factual_036,google/gemma-2-2b,13,constrained_factual,0.497,0.838,2026-08-09T09:20:11.239049+00:00
constrained_factual_036,google/gemma-2-2b,14,constrained_factual,0.507,0.833,2026-08-09T09:20:11.239049+00:00
constrained_factual_037,google/gemma-2-2b,11,constrained_factual,0.539,0.836,2026-08-09T09:20:11.239049+00:00
constrained_factual_037,google/gemma-2-2b,12,constrained_factual,0.549,0.831,2026-08-09T09:20:11.239049+00:00
constrained_factual_037,google/gemma-2-2b,13,constrained_factual,0.559,0.826,2026-08-09T09:20:11.239049+00:00
constrained_factual_037,google/gemma-2-2b,14,constrained_factual,0.569,0.821,2026-08-09T09:20:11.239049+00:00
constrained_factual_038,google/gemma-2-2b,11,constrained_factual,0.475,0.85,2026-08-09T09:20:11.239049+00:00
constrained_factual_038,google/gemma-2-2b,12,constrained_factual,0.485,0.845,2026-08-09T09:20:11.239049+00:00
constrained_factual_038,google/gemma-2-2b,13,constrained_factual,0.495,0.84,2026-08-09T09:20:11.239049+00:00
constrained_factual_038,google/gemma-2-2b,14,constrained_factual,0.505,0.835,2026-08-09T09:20:11.239049+00:00
constrained_factual_039,google/gemma-2-2b,11,constrained_factual,0.511,0.864,2026-08-09T09:20:11.239049+00:00
constrained_factual_039,google/gemma-2-2b,12,constrained_factual,0.521,0.859,2026-08-09T09:20:11.239049+00:00
constrained_factual_039,google/gemma-2-2b,13,constrained_factual,0.531,0.854,2026-08-09T09:20:11.239049+00:00
constrained_factual_039,google/gemma-2-2b,14,constrained_factual,0.541,0.849,2026-08-09T09:20:11.239049+00:00
constrained_factual_040,google/gemma-2-2b,11,constrained_factual,0.523,0.852,2026-08-09T09:20:11.239049+00:00
constrained_factual_040,google/gemma-2-2b,12,constrained_factual,0.533,0.847,2026-08-09T09:20:11.239049+00:00
constrained_factual_040,google/gemma-2-2b,13,constrained_factual,0.543,0.842,2026-08-09T09:20:11.239049+00:00
constrained_factual_040,google/gemma-2-2b,14,constrained_factual,0.553,0.837,2026-08-09T09:20:11.239049+00:00
constrained_factual_041,google/gemma-2-2b,11,constrained_factual,0.535,0.84,2026-08-09T09:20:11.239049+00:00
constrained_factual_041,google/gemma-2-2b,12,constrained_factual,0.545,0.835,2026-08-09T09:20:11.239049+00:00
constrained_factual_041,google/gemma-2-2b,13,constrained_factual,0.555,0.83,2026-08-09T09:20:11.239049+00:00
constrained_factual_041,google/gemma-2-2b,14,constrained_factual,0.565,0.825,2026-08-09T09:20:11.239049+00:00
constrained_factual_042,google/gemma-2-2b,11,constrained_factual,0.485,0.84,2026-08-09T09:20:11.239049+00:00
constrained_factual_042,google/gemma-2-2b,12,constrained_factual,0.495,0.835,2026-08-09T09:20:11.239049+00:00
constrained_factual_042,google/gemma-2-2b,13,constrained_factual,0.505,0.83,2026-08-09T09:20:11.239049+00:00
constrained_factual_042,google/gemma-2-2b,14,constrained_factual,0.515,0.825,2026-08-09T09:20:11.239049+00:00
constrained_factual_043,google/gemma-2-2b,11,constrained_factual,0.54,0.835,2026-08-09T09:20:11.239049+00:00
constrained_factual_043,google/gemma-2-2b,12,constrained_factual,0.55,0.83,2026-08-09T09:20:11.239049+00:00
constrained_factual_043,google/gemma-2-2b,13,constrained_factual,0.56,0.825,2026-08-09T09:20:11.239049+00:00
constrained_factual_043,google/gemma-2-2b,14,constrained_factual,0.57,0.82,2026-08-09T09:20:11.239049+00:00
constrained_factual_044,google/gemma-2-2b,11,constrained_factual,0.524,0.851,2026-08-09T09:20:11.239049+00:00
constrained_factual_044,google/gemma-2-2b,12,constrained_factual,0.534,0.846,2026-08-09T09:20:11.239049+00:00
constrained_factual_044,google/gemma-2-2b,13,constrained_factual,0.544,0.841,2026-08-09T09:20:11.239049+00:00
constrained_factual_044,google/gemma-2-2b,14,constrained_factual,0.554,0.836,2026-08-09T09:20:11.239049+00:00
constrained_factual_045,google/gemma-2-2b,11,constrained_factual,0.556,0.819,2026-08-09T09:20:11.239049+00:00
constrained_factual_045,google/gemma-2-2b,12,constrained_factual,0.566,0.814,2026-08-09T09:20:11.239049+00:00
constrained_factual_045,google/gemma-2-2b,13,constrained_factual,0.576,0.809,2026-08-09T09:20:11.239049+00:00
constrained_factual_045,google/gemma-2-2b,14,constrained_factual,0.586,0.804,2026-08-09T09:20:11.239049+00:00
constrained_factual_046,google/gemma-2-2b,11,constrained_factual,0.537,0.838,2026-08-09T09:20:11.239049+00:00
constrained_factual_046,google/gemma-2-2b,12,constrained_factual,0.547,0.833,2026-08-09T09:20:11.239049+00:00
constrained_factual_046,google/gemma-2-2b,13,constrained_factual,0.557,0.828,2026-08-09T09:20:11.239049+00:00
constrained_factual_046,google/gemma-2-2b,14,constrained_factual,0.567,0.823,2026-08-09T09:20:11.239049+00:00
constrained_factual_047,google/gemma-2-2b,11,constrained_factual,0.542,0.833,2026-08-09T09:20:11.239049+00:00
constrained_factual_047,google/gemma-2-2b,12,constrained_factual,0.552,0.828,2026-08-09T09:20:11.239049+00:00
constrained_factual_047,google/gemma-2-2b,13,constrained_factual,0.562,0.823,2026-08-09T09:20:11.239049+00:00
constrained_factual_047,google/gemma-2-2b,14,constrained_factual,0.572,0.818,2026-08-09T09:20:11.239049+00:00
constrained_factual_048,google/gemma-2-2b,11,constrained_factual,0.489,0.836,2026-08-09T09:20:11.239049+00:00
constrained_factual_048,google/gemma-2-2b,12,constrained_factual,0.499,0.831,2026-08-09T09:20:11.239049+00:00
constrained_factual_048,google/gemma-2-2b,13,constrained_factual,0.509,0.826,2026-08-09T09:20:11.239049+00:00
constrained_factual_048,google/gemma-2-2b,14,constrained_factual,0.519,0.821,2026-08-09T09:20:11.239049+00:00
constrained_factual_049,google/gemma-2-2b,11,constrained_factual,0.49,0.835,2026-08-09T09:20:11.239049+00:00
constrained_factual_049,google/gemma-2-2b,12,constrained_factual,0.5,0.83,2026-08-09T09:20:11.239049+00:00
constrained_factual_049,google/gemma-2-2b,13,constrained_factual,0.51,0.825,2026-08-09T09:20:11.239049+00:00
constrained_factual_049,google/gemma-2-2b,14,constrained_factual,0.52,0.82,2026-08-09T09:20:11.239049+00:00
constrained_factual_050,google/gemma-2-2b,11,constrained_factual,0.5,0.825,2026-08-09T09:20:11.239049+00:00
constrained_factual_050,google/gemma-2-2b,12,constrained_factual,0.51,0.82,2026-08-09T09:20:11.239049+00:00
constrained_factual_050,google/gemma-2-2b,13,constrained_factual,0.52,0.815,2026-08-09T09:20:11.239049+00:00
constrained_factual_050,google/gemma-2-2b,14,constrained_factual,0.53,0.81,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_001,google/gemma-2-2b,11,moderate_reasoning,1.517,0.762,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_001,google/gemma-2-2b,12,moderate_reasoning,1.527,0.757,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_001,google/gemma-2-2b,13,moderate_reasoning,1.537,0.752,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_001,google/gemma-2-2b,14,moderate_reasoning,1.547,0.747,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_002,google/gemma-2-2b,11,moderate_reasoning,1.59,0.785,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_002,google/gemma-2-2b,12,moderate_reasoning,1.6,0.78,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_002,google/gemma-2-2b,13,moderate_reasoning,1.61,0.775,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_002,google/gemma-2-2b,14,moderate_reasoning,1.62,0.77,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_003,google/gemma-2-2b,11,moderate_reasoning,1.516,0.761,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_003,google/gemma-2-2b,12,moderate_reasoning,1.526,0.756,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_003,google/gemma-2-2b,13,moderate_reasoning,1.536,0.751,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_003,google/gemma-2-2b,14,moderate_reasoning,1.546,0.746,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_004,google/gemma-2-2b,11,moderate_reasoning,1.572,0.767,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_004,google/gemma-2-2b,12,moderate_reasoning,1.582,0.762,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_004,google/gemma-2-2b,13,moderate_reasoning,1.592,0.757,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_004,google/gemma-2-2b,14,moderate_reasoning,1.602,0.752,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_005,google/gemma-2-2b,11,moderate_reasoning,1.557,0.802,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_005,google/gemma-2-2b,12,moderate_reasoning,1.567,0.797,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_005,google/gemma-2-2b,13,moderate_reasoning,1.577,0.792,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_005,google/gemma-2-2b,14,moderate_reasoning,1.587,0.787,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_006,google/gemma-2-2b,11,moderate_reasoning,1.531,0.776,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_006,google/gemma-2-2b,12,moderate_reasoning,1.541,0.771,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_006,google/gemma-2-2b,13,moderate_reasoning,1.551,0.766,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_006,google/gemma-2-2b,14,moderate_reasoning,1.561,0.761,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_007,google/gemma-2-2b,11,moderate_reasoning,1.533,0.778,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_007,google/gemma-2-2b,12,moderate_reasoning,1.543,0.773,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_007,google/gemma-2-2b,13,moderate_reasoning,1.553,0.768,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_007,google/gemma-2-2b,14,moderate_reasoning,1.563,0.763,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_008,google/gemma-2-2b,11,moderate_reasoning,1.516,0.761,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_008,google/gemma-2-2b,12,moderate_reasoning,1.526,0.756,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_008,google/gemma-2-2b,13,moderate_reasoning,1.536,0.751,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_008,google/gemma-2-2b,14,moderate_reasoning,1.546,0.746,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_009,google/gemma-2-2b,11,moderate_reasoning,1.589,0.784,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_009,google/gemma-2-2b,12,moderate_reasoning,1.599,0.779,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_009,google/gemma-2-2b,13,moderate_reasoning,1.609,0.774,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_009,google/gemma-2-2b,14,moderate_reasoning,1.619,0.769,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_010,google/gemma-2-2b,11,moderate_reasoning,1.519,0.764,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_010,google/gemma-2-2b,12,moderate_reasoning,1.529,0.759,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_010,google/gemma-2-2b,13,moderate_reasoning,1.539,0.754,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_010,google/gemma-2-2b,14,moderate_reasoning,1.549,0.749,2026-08-09T09:20:11.239049+00:00
moderate_reasoning_011,google/gemma-2-2b,11,moderate_reasoning,1.555,0.8,2026-08-09T09:20:11.239049+00:00
